antecedents|consequents|antecedent support|consequent support|support|confidence|lift|leverage|conviction
frozenset({'EXP_PREVIA_True', 'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.3892165122156698|0.16596461668070767|0.06929233361415332|0.178030303030303|1.0727003537917241|0.004696164358477722|1.014678991687987
frozenset({'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.5874052232518955|0.16596461668070767|0.10235888795282225|0.17425600573682326|1.0499587756832955|0.004870405239575909|1.0100411133640932
frozenset({'EXP_PREVIA_True', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.33129738837405226|0.16596461668070767|0.05770850884582982|0.17418944691671961|1.0495577334525188|0.0027248647770106993|1.0099597058978036
frozenset({'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.8466722830665543|0.16596461668070767|0.14427127211457455|0.17039800995024876|1.0267128822890623|0.0037536312012542428|1.0053440002829253
frozenset({'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.6790227464195451|0.16596461668070767|0.11562763268744734|0.17028535980148882|1.0260341222556713|0.0029338828604461853|1.005207504979962
frozenset({'EXP_PREVIA_True', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.34119629317607414|0.16596461668070767|0.05791912384161752|0.1697530864197531|1.022826972488563|0.0012926118317720253|1.0045630639236087
frozenset({'EXP_PREVIA_True'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.5111625947767481|0.16596461668070767|0.08572030328559394|0.1676967449526164|1.0104367322779477|0.0008853991819550433|1.0020811263940212
frozenset({'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.5324347093513058|0.16596461668070767|0.08909014321819714|0.16732594936708864|1.0082025477093108|0.0007248207732036827|1.0016348926513878
frozenset({'EXP_PREVIA_False', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(50.0, 75.0]'})|0.3477253580454928|0.16596461668070767|0.05791912384161752|0.1665657177468201|1.003621862768911|0.00020901808343547906|1.000721233909994
