antecedents|consequents|antecedent support|consequent support|support|confidence|lift|leverage|conviction
frozenset({'EXP_PREVIA_False', 'GRADO EN EDUCACIÓN PRIMARIA', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.06802864363942712|0.2898062342038753|0.02295703454085931|0.33746130030959753|1.164437684498524|0.003241909509719521|1.0719279736081695
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'GRADO EN EDUCACIÓN PRIMARIA', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.06655433866891322|0.2898062342038753|0.02232518955349621|0.33544303797468356|1.1574735060347365|0.0030373272939291096|1.0686725237694068
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'GRADO EN EDUCACIÓN PRIMARIA'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.07013479359730412|0.2898062342038753|0.02337826453243471|0.33333333333333337|1.1501937984496127|0.003052764113333939|1.065290648694187
frozenset({'EXP_PREVIA_False', 'GRADO EN EDUCACIÓN PRIMARIA'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.07287278854254423|0.2898062342038753|0.02422072451558551|0.3323699421965318|1.146869538916521|0.0031017360921354598|1.0637534327509055
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.32792754844144906|0.2898062342038753|0.10593934288121314|0.3230571612074502|1.1147350300966379|0.010903894975687889|1.049119253647596
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.30560235888795284|0.2898062342038753|0.09835720303285594|0.32184700206753963|1.110559277483051|0.009791734239717131|1.0472471078965213
frozenset({'EXP_PREVIA_False', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.3477253580454928|0.2898062342038753|0.11141533277169334|0.32041187159297396|1.1056072429676167|0.010642356219334848|1.04503556802977
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.3150800336983993|0.2898062342038753|0.10088458298230835|0.3201871657754011|1.1048318772540728|0.009572424943345106|1.044690141230091
frozenset({'EXP_PREVIA_False', 'GRADO EN ENFERMERÍA'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.06276326874473462|0.2898062342038753|0.020008424599831508|0.31879194630872487|1.1000175589199315|0.0018192380385941807|1.0425504542228827
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.45745577085088457|0.2898062342038753|0.14448188711036225|0.3158379373848987|1.0898245106856823|0.011908352845236475|1.0380490304907017
frozenset({'GRADO EN ENFERMERÍA', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.08003369839932603|0.2898062342038753|0.02527379949452401|0.31578947368421056|1.0896572827417383|0.0020795347520066107|1.0379755038558747
frozenset({'GRADO EN ENFERMERÍA', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.10783487784330244|0.2898062342038753|0.03390901432181971|0.314453125|1.0850461028343024|0.0026577944582173232|1.0359521597937773
frozenset({'EXP_PREVIA_False'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.4888374052232519|0.2898062342038753|0.15353833192923336|0.3140887548470487|1.0837888139635081|0.011870204383488903|1.0354018407115613
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.42965459140690815|0.2898062342038753|0.13458298230834034|0.31323529411764706|1.080843878248974|0.010066403164299575|1.0341151193605242
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.4450294860994103|0.2898062342038753|0.13879528222409435|0.3118788452437293|1.0761633410008915|0.009822962747938369|1.032076634888041
frozenset({'GRADO EN EDUCACIÓN INFANTIL', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.09667228306655434|0.2898062342038753|0.02990732940185341|0.3093681917211329|1.0675001266656534|0.001891099094444234|1.0283247271306664
