antecedents|consequents|antecedent support|consequent support|support|confidence|lift|leverage|conviction
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.32792754844144906|0.2898062342038753|0.10593934288121314|0.3230571612074502|1.1147350300966379|0.010903894975687889|1.049119253647596
frozenset({'EXP_PREVIA_False', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.3477253580454928|0.2898062342038753|0.11141533277169334|0.32041187159297396|1.1056072429676167|0.010642356219334848|1.04503556802977
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.3150800336983993|0.2898062342038753|0.10088458298230835|0.3201871657754011|1.1048318772540728|0.009572424943345106|1.044690141230091
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.45745577085088457|0.2898062342038753|0.14448188711036225|0.3158379373848987|1.0898245106856823|0.011908352845236475|1.0380490304907017
frozenset({'EXP_PREVIA_False'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.4888374052232519|0.2898062342038753|0.15353833192923336|0.3140887548470487|1.0837888139635081|0.011870204383488903|1.0354018407115613
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.42965459140690815|0.2898062342038753|0.13458298230834034|0.31323529411764706|1.080843878248974|0.010066403164299575|1.0341151193605242
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.4450294860994103|0.2898062342038753|0.13879528222409435|0.3118788452437293|1.0761633410008915|0.009822962747938369|1.032076634888041
frozenset({'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.5676074136478517|0.2898062342038753|0.17249368155012637|0.3038961038961039|1.0486182422228933|0.007997514494641117|1.020241044147418
frozenset({'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.5324347093513058|0.2898062342038753|0.16090985678180286|0.3022151898734177|1.0428181115690316|0.006606958705266064|1.0177833559708636
frozenset({'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.5874052232518955|0.2898062342038753|0.17586352148272957|0.2993904625313733|1.03307115995564|0.005629825780411102|1.0136798427867921
frozenset({'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.6790227464195451|0.2898062342038753|0.2021903959561921|0.29776674937965264|1.0274684055629293|0.0054053708775707865|1.011335998642538
frozenset({'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.8308761583824769|0.2898062342038753|0.2462089300758214|0.29632446134347273|1.0224916732985527|0.005415839525213129|1.0092631145769857
frozenset({'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.7708508845829823|0.2898062342038753|0.22809604043807918|0.2959016393442623|1.021032691574533|0.004698648444358966|1.0086570364042748
frozenset({'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(25.0, 50.0]'})|0.8466722830665543|0.2898062342038753|0.2481044650379107|0.2930348258706468|1.01114051833854|0.0027335590775950658|1.0045668326883959
